"";"date";"temperature";"humidity";"ID"
"1";"2000-01-01";4,24750000000002;88,5;2000
"2";"2000-01-02";6,32375000000003;79;2000
"3";"2000-01-03";6,18625000000002;79,625;2000
"4";"2000-01-04";8,37375000000002;77,25;2000
"5";"2000-01-05";7,17250000000002;83,125;2000
"6";"2000-01-06";8,18375000000003;87,25;2000
"7";"2000-01-07";7,20875000000002;80,125;2000
"8";"2000-01-08";6,77375000000002;81,5;2000
"9";"2000-01-09";7,82375000000003;86,25;2000
"10";"2000-01-10";7,51000000000002;74,375;2000
"11";"2000-01-11";5,27250000000002;72,375;2000
"12";"2000-01-12";4,39714285714289;76,5714285714286;2000
"13";"2000-01-13";3,02375000000001;86,375;2000
"14";"2000-01-14";7,07500000000002;74,75;2000
"15";"2000-01-15";8,72250000000002;62,875;2000
"16";"2000-01-16";4,57375000000002;60,875;2000
"17";"2000-01-17";5,44875000000003;55,375;2000
"18";"2000-01-18";8,43500000000003;56;2000
"19";"2000-01-19";8,89750000000003;42;2000
"20";"2000-01-20";5,12000000000003;48,875;2000
"21";"2000-01-21";3,94750000000002;55,875;2000
"22";"2000-01-22";5,50875000000003;55,25;2000
"23";"2000-01-23";6,77500000000001;45,75;2000
"24";"2000-01-24";4,82125000000003;44;2000
"25";"2000-01-25";-0,351249999999972;77,875;2000
"26";"2000-01-26";0,883750000000028;73,125;2000
"27";"2000-01-27";1,38250000000004;81,5;2000
"28";"2000-01-28";3,57125000000003;87,75;2000
"29";"2000-01-29";8,05000000000003;72,75;2000
"30";"2000-01-30";13,4575;58,5;2000
"31";"2000-01-31";10,60875;73,75;2000
"32";"2000-02-01";8,53625000000002;89,25;2000
"33";"2000-02-02";11,76125;84,25;2000
"34";"2000-02-03";11,96125;45,5;2000
"35";"2000-02-04";8,37375000000003;56,75;2000
"36";"2000-02-05";7,45000000000002;79,125;2000
"37";"2000-02-06";9,44875000000003;80,75;2000
"38";"2000-02-07";11,23625;64,625;2000
"39";"2000-02-08";14,5125;63,625;2000
"40";"2000-02-09";12,84625;44,625;2000
"41";"2000-02-10";8,96250000000003;54,625;2000
"42";"2000-02-11";11,635;65;2000
"43";"2000-02-12";7,80750000000003;51,5;2000
